Numéro de radar;Type de radar;Date de mise en service;VMA ;Latitude; Longitude
FE191011;ETFR;07/01/2013 00:00;NA;+48.60079;+2.48071
FE191012;ETFR;20/10/2010 00:00;NA;+48.67846;+2.49589
FE191013;ETFR;08/08/2011 00:00;NA;+48.63533;+2.26618
FE191014;ETFR;10/01/2011 00:00;NA;+48.75190;+2.20690
FE192001;ETFR;03/01/2013 00:00;NA;+48.92145;+2.27804
FE192003;ETFR;12/11/2010 00:00;NA;+48.84903;+2.21399
FE192004;ETFR;24/10/2011 00:00;NA;+48.83198;+2.25377
FE192005;ETFR;20/10/2010 00:00;NA;+48.81752;+2.32554
FE192010;ETFR;05/11/2010 00:00;NA;+48.84966;+2.21356
FE192011;ETFR;22/09/2010 00:00;NA;+48.90089;+2.30803
FE192012;ETFR;01/12/2010 00:00;NA;+48.79618;+2.32178
FE192014;ETFR;10/10/2011 00:00;NA;+48.83216;+2.25250
FE193001;ETFR;11/11/2011 00:00;NA;+48.91969;+2.45184
FE193002;ETFR;17/11/2011 00:00;NA;+48.90210;+2.41414
FE194002;ETFR;03/08/2010 00:00;NA;+48.79840;+2.42036
FE194003;ETFR;12/04/2010 00:00;NA;+48.80620;+2.47139
FE194007;ETFR;29/11/2010 00:00;NA;+48.79622;+2.32246
FE194009;ETFR;21/03/2011 00:00;NA;+48.73600;+2.44655
FE194012;ETFR;04/05/2012 00:00;NA;+48.81350;+2.51127
FE194017;ETFR;04/04/2011 00:00;NA;+48.78313;+2.44695
FE194020;ETFR;04/04/2011 00:00;NA;+48.78119;+2.44523
FE194021;ETFR;04/04/2011 00:00;NA;+48.73531;+2.44692
FE194022;ETFR;11/02/2011 00:00;NA;+48.84992;+2.43457
FE195002;ETFR;05/02/2010 00:00;NA;+49.02346;+2.38650
FE195003;ETFR;05/02/2010 00:00;NA;+49.02258;+2.38660
FE195004;ETFR;22/03/2010 00:00;NA;+48.99200;+2.36021
FE195005;ETFR;09/04/2010 00:00;NA;+48.99128;+2.36026
FE195006;ETFR;24/03/2010 00:00;NA;+48.95446;+2.25471
